id,src,dst,label,time
0,84,27,0,911892180
1,84,27,-1,911892180
2,84,27,0,911892180
3,84,27,-1,911892180
4,84,27,0,916227660
5,84,27,-1,916227660
6,84,27,0,916671360
7,84,27,-1,916671360
8,84,27,-1,921843480
9,84,27,0,921843480
10,84,27,-1,922352040
11,84,27,0,922352040
12,84,27,-1,927130140
13,84,27,0,927130140
14,84,27,-1,927130140
15,84,27,0,927130140
16,84,27,-1,928229040
17,84,27,0,928229040
18,84,27,0,933241740
19,84,27,-1,933241740
20,84,27,-1,933319200
21,84,27,0,933319200
22,84,27,0,933592800
23,84,27,-1,933592800
24,84,27,0,934533600
25,84,27,-1,934533600
26,84,27,-1,937309620
27,84,27,0,937309620
28,84,27,0,938008260
29,84,27,-1,938008260
30,84,27,-1,938452020
31,84,27,0,938452020
32,84,27,-1,938452020
33,84,27,0,938452020
34,84,27,0,939105900
35,84,27,-1,939105900
36,84,27,0,939105900
37,84,27,-1,939105900
38,84,27,-1,939297600
39,84,27,0,939297600
40,84,27,0,941023800
41,84,27,-1,941023800
42,84,27,-1,945787860
43,84,27,0,945787860
44,84,27,-1,945867600
45,84,27,0,945867600
46,84,27,0,969446040
47,84,27,32,969446040
48,84,27,-1,972554820
49,84,27,0,972554820
50,84,27,32,972893280
51,84,27,0,972893280
52,84,27,32,972893280
53,84,27,0,972893280
54,84,27,0,975568080
55,84,27,0,975568080
56,84,27,3,975568080
57,84,27,0,975568080
58,84,27,0,975568080
59,84,27,0,981369780
60,84,27,11,981369780
61,84,27,9,981459540
62,84,27,0,981459540
63,84,27,0,989307360
64,84,27,9,989307360
65,84,27,9,989428380
66,84,27,0,989428380
67,84,27,9,989492760
68,84,27,0,989492760
69,84,27,9,989492760
70,84,27,0,989492760
71,83,27,0,935505960
72,83,27,-1,935505960
73,83,27,-1,939105780
74,83,27,0,939105780
75,83,27,-1,941549100
76,83,27,0,941549100
77,83,27,0,942050280
78,83,27,-1,942050280
79,83,27,0,943878180
80,83,27,-1,943878180
81,83,27,-1,950610600
82,83,27,0,950610600
83,83,27,-1,969352980
84,83,27,0,969352980
85,83,27,0,969352980
86,83,27,0,969352980
87,83,27,0,969352980
88,83,27,0,969352980
89,83,27,0,969352980
90,83,27,-1,969894060
91,83,27,0,969894060
92,83,27,0,969894060
93,83,27,0,969894060
94,83,27,0,969894060
95,83,27,0,969967680
96,83,27,-1,969967680
97,83,27,0,971364480
98,83,27,-1,971364480
99,83,27,0,972454860
100,83,27,-1,972454860
101,83,27,32,972457980
102,83,27,0,972457980
103,83,27,0,972457980
104,83,27,0,972457980
105,83,27,0,972460080
106,83,27,-1,972460080
107,83,27,0,972460080
108,83,27,-1,972460080
109,83,27,0,972473400
110,83,27,0,972473400
111,83,27,-1,972473400
112,83,27,0,972473400
113,83,27,0,972901380
114,83,27,-1,972901380
115,83,27,-1,972978780
116,83,27,0,972978780
117,83,27,0,973160700
118,83,27,-1,973160700
119,83,27,0,973258500
120,83,27,32,973258500
121,83,27,24,974885220
122,83,27,0,974885220
123,83,27,0,974885220
124,83,27,0,974885220
125,83,27,9,977154960
126,83,27,0,977154960
127,83,27,7,978440640
128,83,27,0,978440640
129,83,27,0,978440640
130,83,27,0,979641420
131,83,27,5,979641420
132,83,27,0,980755020
133,83,27,11,980755020
134,83,27,0,984038640
135,83,27,0,984038640
136,83,27,8,984038640
137,83,27,0,984038640
138,83,27,0,985695000
139,83,27,0,985695000
140,83,27,0,985695000
141,83,27,21,985695000
142,83,27,0,985782780
143,83,27,0,985782780
144,83,27,9,985782780
145,83,27,0,985782780
146,83,27,9,985865700
147,83,27,0,985865700
148,83,27,0,985865700
149,83,27,0,985865700
150,83,27,0,986988000
151,83,27,0,986988000
152,83,27,9,986988000
153,83,27,0,986988000
154,83,27,0,986988000
155,83,27,0,986988000
156,83,27,9,986988000
157,83,27,0,986988000
158,83,27,0,987069840
159,83,27,0,987069840
160,83,27,0,987069840
161,83,27,0,987069840
162,83,27,4,987069840
163,83,27,0,987069840
164,83,27,9,987070020
165,83,27,0,987070020
166,83,27,0,987070020
167,83,27,0,987070020
168,83,27,0,987582060
169,83,27,0,987582060
170,83,27,9,987582060
171,83,27,0,987582060
172,83,27,0,989823780
173,83,27,5,989823780
174,83,27,0,989823780
175,83,27,0,989823780
176,83,27,9,991773960
177,83,27,0,991815840
178,83,27,9,991815840
179,83,27,0,991815840
180,83,27,0,991815840
181,83,27,9,992294220
182,50,27,0,925729200
183,50,27,-1,925729200
184,50,27,-1,965127300
185,50,27,0,965127300
186,50,27,-1,965127300
187,50,27,0,965127300
188,50,27,9,983424300
189,50,27,0,983424300
190,50,27,9,983424300
191,50,27,0,983424300
192,50,27,0,987152700
193,50,27,19,987152700
194,50,27,0,987152700
195,50,27,19,987152700
196,50,27,0,991818780
197,50,27,5,991818780
198,50,27,0,991818780
199,50,27,5,991818780
200,81,27,9,989260800
201,81,27,9,989260800
202,81,27,0,993459480
203,81,27,9,993459480
204,81,27,0,993459480
205,81,27,0,993459480
206,81,27,9,993459480
207,81,27,0,993459480
208,81,27,20,993477530
209,81,27,20,993477530
210,81,27,9,993495480
211,81,27,0,993495480
212,81,27,9,993495480
213,81,27,0,993495480
214,81,27,9,1005840194
215,81,27,0,1006876188
216,81,27,16,1006876188
217,81,27,0,1006876188
218,81,27,16,1008759678
219,81,27,16,1008759678
220,81,27,16,1009368819
221,81,27,0,1009971196
222,81,27,9,1009971196
223,81,27,0,1009971575
224,81,27,16,1009971575
225,81,27,9,1009973710
226,81,27,0,1009973710
227,81,27,16,1010083617
228,81,27,0,1010093901
229,81,27,5,1010093901
230,81,27,16,1010755601
231,81,27,16,1010755601
232,81,27,16,1012679923
233,81,27,0,1012939724
234,81,27,0,1012939724
235,81,27,0,1012939724
236,81,27,16,1012939724
237,81,27,0,1012939724
238,81,27,0,1012939724
239,81,27,0,1012939724
240,81,27,0,1012939724
241,81,27,16,1012943745
242,81,27,0,1012954124
243,81,27,0,1013000583
244,81,27,0,1013000583
245,81,27,0,1013000583
246,81,27,16,1013000583
247,81,27,0,1013000583
248,81,27,0,1013000583
249,81,27,0,1013000583
250,81,27,0,1013000583
251,81,27,0,1013000583
252,81,27,0,1013014983
253,103,27,0,946535100
254,103,27,0,946535100
255,103,27,0,946535100
256,103,27,0,946535100
257,103,27,0,946535100
258,103,27,-1,946535100
259,103,27,0,946535100
260,103,27,0,946535100
261,103,27,0,946535100
262,103,27,0,946535100
263,103,27,0,946535100
264,103,27,0,946535100
265,103,27,0,946535100
266,103,27,0,946535100
267,103,27,0,946535100
268,103,27,-1,946535100
269,103,27,0,946535100
270,103,27,0,946535100
271,103,27,0,946535100
272,103,27,0,946535100
273,103,27,-1,947598420
274,103,27,0,947598420
275,103,27,0,947827440
276,103,27,-1,947827440
277,103,27,0,947827440
278,103,27,-1,947827440
279,103,27,0,948780060
280,103,27,-1,948780060
281,103,27,-1,966402120
282,103,27,0,966402120
283,103,27,-1,966402120
284,103,27,0,966402120
285,103,27,-1,966414540
286,103,27,0,966414540
287,103,27,0,967970460
288,103,27,-1,967970460
289,103,27,0,967970460
290,103,27,-1,967970460
291,103,27,0,970820940
292,103,27,0,970820940
293,103,27,-1,970820940
294,103,27,0,970820940
295,103,27,-1,971764260
296,103,27,0,971764260
297,103,27,0,972364560
298,103,27,-1,972364560
299,103,27,0,972795660
300,103,27,-1,972795660
301,103,27,0,972795660
302,103,27,-1,972795660
303,103,27,-1,972796320
304,103,27,0,972796320
305,103,27,-1,972796320
306,103,27,0,972796320
307,103,27,0,981265560
308,103,27,20,981265560
309,103,27,29,983446740
310,103,27,0,983446740
311,103,27,9,983515740
312,103,27,0,983515740
313,103,27,0,983515740
314,103,27,0,983515740
315,103,27,0,983974860
316,103,27,9,983974860
317,103,27,0,987494760
318,103,27,0,987494760
319,103,27,9,987494760
320,103,27,0,987494760
321,103,27,0,987494760
322,103,27,0,987494760
323,103,27,9,987494760
324,103,27,0,987494760
325,103,27,0,987674040
326,103,27,9,987674040
327,103,27,0,987674040
328,103,27,0,987674040
329,103,27,0,987674040
330,103,27,9,987674040
331,103,27,0,987674040
332,103,27,0,987674040
333,103,27,0,989481480
334,103,27,0,989481480
335,103,27,0,989481480
336,103,27,2,989481480
337,103,27,0,990107640
338,103,27,20,990107640
339,103,27,0,990107640
340,103,27,0,990107640
341,103,27,0,990107640
342,103,27,20,990107640
343,103,27,0,990107640
344,103,27,0,990107640
345,103,27,0,990420900
346,103,27,0,990420900
347,103,27,0,990420900
348,103,27,14,990420900
349,103,27,0,991707960
350,103,27,0,991707960
351,103,27,0,991707960
352,103,27,0,991707960
353,103,27,0,991707960
354,103,27,0,991707960
355,103,27,0,991707960
356,103,27,0,991707960
357,103,27,5,991743960
358,103,27,5,991743960
359,48,27,0,982247100
360,48,27,0,982247100
361,48,27,0,982247100
362,48,27,0,982247100
363,48,27,0,982247100
364,48,27,0,982247100
365,48,27,5,982247100
366,48,27,0,982247100
367,48,27,0,982247100
368,48,27,0,982247100
369,48,27,0,982247100
370,48,27,0,982247100
371,48,27,0,982247100
372,48,27,5,982247100
373,48,27,9,985174680
374,48,27,0,985174680
375,48,27,9,985174680
376,48,27,0,985174680
377,45,27,0,980314920
378,45,27,5,980314920
379,45,27,9,980324160
380,45,27,0,980324160
381,45,27,0,980324160
382,45,27,0,980324160
383,45,27,0,980324160
384,45,27,0,980324160
385,45,27,0,980324160
386,45,27,5,980353740
387,45,27,0,980353740
388,45,27,0,980353740
389,45,27,0,980353740
390,45,27,0,980353740
391,45,27,0,980353740
392,45,27,0,980353740
393,45,27,0,980353740
394,45,27,0,980441460
395,45,27,5,980441460
396,45,27,5,980481420
397,45,27,0,980481420
398,45,27,0,980481420
399,45,27,0,980481420
400,45,27,0,980481420
401,45,27,5,980831520
402,45,27,0,980831520
403,45,27,8,980919660
404,45,27,0,980919660
405,45,27,0,981890220
406,45,27,0,981890220
407,45,27,0,981890220
408,45,27,0,981890220
409,45,27,0,981890220
410,45,27,5,981890220
411,45,27,0,981890220
412,45,27,0,981890220
413,45,27,0,981892260
414,45,27,0,981892260
415,45,27,0,981892260
416,45,27,0,981892260
417,45,27,0,981892260
418,45,27,1,981892260
419,45,27,0,981892260
420,45,27,0,982131900
421,45,27,0,982131900
422,45,27,5,982131900
423,45,27,0,982131900
424,45,27,0,982131900
425,45,27,0,982131900
426,45,27,0,982131900
427,45,27,5,982686420
428,45,27,0,982746420
429,45,27,0,982746420
430,45,27,9,982786020
431,45,27,0,983166720
432,45,27,0,983166720
433,45,27,0,983166720
434,45,27,0,983166720
435,45,27,0,983166720
436,45,27,0,983166720
437,45,27,0,983166720
438,45,27,0,983166720
439,45,27,1,983206320
440,45,27,0,983441880
441,45,27,0,983441880
442,45,27,0,983441880
443,45,27,0,983441880
444,45,27,0,983441880
445,45,27,0,983441880
446,45,27,0,983441880
447,45,27,0,983441880
448,45,27,1,983481480
449,45,27,0,986800740
450,45,27,1,986800740
451,45,27,0,986800740
452,45,27,0,986800740
453,45,27,0,986800740
454,45,27,0,989932440
455,45,27,0,989932440
456,45,27,0,989932440
457,45,27,0,989932440
458,45,27,20,989932440
459,45,27,0,989932440
460,45,27,0,989932440
461,45,27,0,989932440
462,45,27,0,989932440
463,45,27,20,989932440
464,110,27,16,1008857781
465,24,27,0,990105720
466,24,27,9,990105720
467,76,27,-1,950185200
468,76,27,0,950185200
469,76,27,0,988798620
470,76,27,9,988798620
471,76,27,0,988798620
472,76,27,0,988798620
473,76,27,0,988834620
474,76,27,0,988834620
475,20,27,0,967704420
476,20,27,0,967704420
477,20,27,-1,967704420
478,20,27,0,967704420
479,72,27,0,971176740
480,72,27,0,971176740
481,72,27,0,971176740
482,72,27,0,971176740
483,72,27,0,971176740
484,72,27,-1,971176740
485,72,27,29,978947400
486,72,27,0,978947400
487,72,27,0,978947400
488,72,27,0,978947400
489,72,27,0,978947400
490,72,27,0,978947400
491,72,27,0,979449180
492,72,27,0,979449180
493,72,27,0,979449180
494,72,27,9,979449180
495,72,27,0,988212120
496,72,27,0,988212120
497,72,27,9,988212120
498,72,27,0,988212120
499,72,27,9,988232520
500,72,27,0,988232520
501,72,27,0,988232520
502,72,27,0,988232520
503,72,27,9,988351800
504,72,27,0,988351800
505,72,27,0,988351800
506,72,27,0,988351800
507,72,27,0,989302020
508,72,27,9,989302020
509,72,27,0,989302020
510,72,27,0,989302020
511,72,27,0,989311200
512,72,27,0,989311200
513,72,27,0,989311200
514,72,27,0,989311200
515,72,27,0,989311200
516,72,27,9,989311200
517,72,27,0,989317380
518,72,27,9,989317380
519,72,27,0,989317380
520,72,27,0,989317380
521,72,27,0,989317380
522,72,27,0,989317380
523,72,27,0,989317380
524,72,27,9,989317380
525,72,27,0,989317380
526,72,27,0,989317380
527,72,27,0,989317380
528,72,27,0,989317380
529,72,27,0,989578380
530,72,27,0,989578380
531,72,27,9,989578380
532,72,27,0,989578380
533,72,27,0,989578380
534,72,27,0,989578380
535,72,27,0,989832600
536,72,27,9,989832600
537,72,27,0,989832600
538,72,27,0,989832600
539,72,27,0,989832600
540,72,27,0,989832600
541,72,27,0,989913540
542,72,27,0,989913540
543,72,27,20,989913540
544,72,27,0,989913540
545,72,27,0,989913540
546,72,27,0,989913540
547,72,27,0,989995260
548,72,27,0,989995260
549,72,27,0,989995260
550,72,27,9,989995260
551,72,27,0,989995260
552,72,27,0,989995260
553,72,27,7,990536520
554,72,27,0,990536520
555,72,27,0,990536520
