id,src,dst,time
124695,36619,29011,2004
136380,14861,27761,2014
119474,22575,26229,2005
130838,15530,43856,1999
119863,9115,8853,2009
130644,18921,11399,2004
124735,12665,33316,2007
121188,44138,49334,2000
129401,5707,6534,1994
125483,22537,48403,1989
131731,18220,4475,2014
133536,26552,12157,1996
121139,29271,40368,1995
124169,17980,9917,2013
129357,50690,39726,1993
125565,2768,1348,2003
123493,30176,9795,1992
130263,1110,18531,2005
134932,30471,42863,2011
122513,51857,23317,2001
130720,8885,3471,2003
136486,39809,36105,2009
129446,33820,34775,2014
129875,20711,22578,2010
132087,9177,2473,2011
136345,27599,7119,2008
123002,32121,36742,2003
129883,15405,35282,2004
124903,29271,17935,2014
129946,25147,42557,2002
129316,19877,17779,1990
124480,9837,27904,2002
133089,35662,22230,2012
135766,7305,2224,1994
125914,11038,7509,2012
132107,51135,18056,2010
130754,23119,43823,2014
134881,13721,51766,2009
121645,49122,39029,1997
125913,41079,13635,2008
136394,26911,31274,2003
128737,7433,39645,1993
133848,30335,10202,2010
129003,39976,43059,2013
121522,11594,26571,2005
127683,20251,18220,2012
135171,37444,52923,2014
123855,22287,19322,1988
119235,42982,12095,2008
135177,45698,26367,1990
132237,27217,39681,2013
122304,36932,37708,2008
123235,12413,10377,1996
133038,39365,48112,1998
122704,291,36851,2011
129272,39379,3312,2012
120285,31437,6948,2008
126214,8633,43887,2014
135369,11328,22152,2011
126639,27635,12912,2004
123505,7428,36914,2011
131119,43347,32781,2011
128201,44992,43112,2012
131293,51857,16011,2013
130798,50839,23116,1997
126598,34642,20015,2011
133143,6906,50970,2013
133699,33803,27424,2003
133329,11813,33494,2011
131972,15726,50191,1998
131847,10408,19800,2012
124938,53105,9917,2013
129414,22986,46508,2011
132658,11772,8180,1990
125178,46107,23554,2009
131583,12532,36921,2014
125312,2424,33627,2011
133371,11030,45767,1991
132262,11677,6921,1987
122642,27013,21387,2014
135886,34733,18878,2014
120827,51857,38454,1988
133033,271,21142,2008
129732,8532,21534,1994
134127,2361,22797,2013
135852,7866,34445,2014
136100,52830,21248,2009
133121,35543,37932,1990
127556,22907,22691,2014
129216,34326,46565,2003
120463,6925,3290,1995
120912,24926,39123,1994
121463,52142,7169,2008
126740,19813,17202,1994
132342,474,11861,1991
131872,5909,33466,1997
123284,11455,50971,1991
123670,38957,51545,2004
134261,23228,22768,2013
131044,33887,45617,2010
