id,src,dst,time
102662,48414,29011,2012
98625,16277,27761,2013
99075,4705,26229,2011
99093,28215,43856,2012
102802,32687,8853,2005
100342,6455,11399,2014
86109,51301,33316,2012
88945,41998,49334,2015
98408,11832,6534,2001
87490,30093,48403,2015
93484,38308,4475,1999
93994,33327,12157,2010
86825,5270,40368,2002
103140,46311,9917,2010
86589,5963,39726,1996
87311,21114,1348,1998
87069,47898,9795,2015
95259,6260,18531,2013
89380,17687,42863,1995
93638,16638,23317,2015
100322,2117,3471,2014
97539,15034,36105,2004
92762,3844,34775,2014
90847,29230,22578,2013
100104,29559,2473,1997
92470,50412,7119,2015
98621,16277,36742,2013
97404,7509,35282,2007
96223,32073,17935,2011
91882,20358,42557,2013
91954,17562,17779,2000
96624,37988,27904,2005
95006,3081,22230,2015
95072,40808,2224,2014
98256,1644,7509,2009
92460,5938,18056,2004
101972,42503,43823,2013
88490,1988,51766,1997
87916,22139,39029,2013
93474,48445,13635,2013
98023,51601,31274,2010
101520,1275,39645,2013
87253,5514,10202,2015
86586,20232,43059,1996
95542,53045,26571,2015
91061,29230,18220,2013
102081,28994,52923,2014
96106,16178,19322,2012
100120,48886,12095,2013
91033,8565,26367,1997
97657,32370,39681,2007
94449,35312,37708,1999
96124,27599,10377,2006
91932,37208,48112,2010
102054,23858,36851,2015
93809,39749,3312,2011
94745,50559,6948,2007
95725,40146,43887,2015
93978,3969,22152,2010
100276,23438,12912,2014
94163,43362,36914,2003
98540,22648,32781,2008
94239,33145,43112,2007
102313,50230,16011,2014
100899,44501,23116,2008
88999,44358,20015,2015
103186,10134,50970,1999
102722,33674,27424,2014
88038,37259,33494,2010
90720,13624,50191,2014
101115,25139,19800,2004
102047,17848,9917,2015
93849,28926,46508,2006
101704,9811,8180,2013
96491,38124,23554,2015
99314,23838,36921,2013
98988,21915,33627,2008
94631,5591,45767,2010
102309,16638,6921,2014
90927,23241,21387,2003
98378,21145,18878,2013
97424,35865,38454,2014
98965,46424,21142,2013
96638,21467,21534,2011
93303,21377,22797,2011
91890,21600,34445,2006
94416,27500,21248,2015
99223,38085,37932,2012
90716,13624,22691,2014
97127,7601,46565,2006
100495,48737,3290,2015
98650,10360,39123,2013
88838,49872,7169,2007
97347,37488,17202,2007
90486,33484,11861,2014
86640,50228,33466,2013
91082,30739,50971,2014
91208,38890,51545,2009
90556,48499,22768,2014
101602,5699,45617,2013
