id,src,dst,time
131138,8983,23151,1994
123580,14253,29271,2006
134895,28836,22952,2008
136455,45294,21477,2004
122764,16209,28323,2007
122216,26385,46078,2010
130216,37668,37663,2005
127577,25739,23077,2002
119782,29271,22552,2002
133220,41424,25703,2002
125920,33114,28193,2001
121000,25472,39361,2004
131518,2705,17873,2009
122937,44179,44550,2013
127619,25239,38740,1990
123284,11455,50971,1991
125442,41681,30650,2014
132497,50234,31268,2003
130932,10379,46586,2010
134492,21615,6534,1987
132469,45128,12177,2004
129586,2227,38457,2010
135060,46933,5241,1995
128001,38790,51473,1999
119694,14715,24510,2000
122510,33893,18669,2001
130683,24609,9626,2012
135312,33202,18878,2013
133463,32323,50970,2014
132026,3825,15261,2009
131971,22552,22288,1999
130662,22434,38740,1996
134626,30526,30445,2007
128780,5536,9229,2003
135455,20296,23049,1999
133889,1369,37474,2007
129769,44147,5726,2007
131480,41795,46046,2013
124461,37167,40470,2001
120325,49004,39200,2000
129557,10259,30650,2006
119822,47153,31577,2012
126898,26005,13544,2013
129001,5074,48109,2006
122229,19658,39373,1990
133226,36208,47447,2013
130393,2075,13156,2006
123063,1328,53134,2008
120727,23431,10013,1996
119533,10016,29000,1993
124902,50443,3434,2009
121262,27904,42685,2004
119544,22691,41195,2009
133560,19344,45592,2005
129269,30687,36105,1996
120010,36966,3001,2014
119219,50690,19951,2005
124144,9845,39850,2004
131748,13744,35829,2000
127659,4636,43843,1990
128876,51479,6419,2011
123480,14020,37927,2003
125497,38724,49334,1995
129135,25409,18832,2012
124605,31901,22498,2002
128487,16303,18566,1987
133166,44777,31697,1991
119178,28485,6324,2005
135188,4029,23966,2006
121391,49322,49195,2011
135625,38997,25327,1990
124906,29271,22552,2014
128679,29683,9115,2010
133004,46448,22696,1994
130156,886,166,2011
122932,33937,30537,2013
119870,28537,15797,2002
128358,31322,6454,2007
126378,977,35636,2003
123925,38792,14932,1990
134698,43415,52986,2002
121725,19803,33627,2012
132675,22757,26644,2013
124469,31085,36762,1994
129291,33940,45644,2013
125966,33907,10372,2014
136460,21477,38235,2004
126596,33488,46586,2004
133636,10462,2527,2011
132374,40340,18448,2002
131211,20039,47049,1988
120340,948,28162,1994
122390,30093,40107,2014
122196,46982,49389,2010
136504,42298,9219,2004
121469,2278,3700,2011
132287,5780,20546,2005
130301,18531,42139,2005
122528,51857,35174,1993
120128,18586,25703,2003
